j_offset	s_notes	s_isOnset	s_duration	s_measure	a_degree1	a_pcset	a_localKey
43.875	['C4, C#2, C#3, C#4, E4, D#4, D#5, G#4']	[False, False, False, False, False, False, False, False]	0.125	11			
44.0	['C4, C#2, C#3, C#4, D#4, D#5, G#4']	[False, False, False, False, False, False, False]	0.125	12			
44.125	['C#2, C#4, C#5, C#6, E5, E6, D#5, G#4, G#5']	[True, True, True, True, True, True, False, True, True]	0.125	12			
44.25	['C#2, C#4, C#5, C#6, E5, E6, G#4, G#5']	[False, False, False, False, False, False, False, False]	0.125	12			
44.375	['C#2, C#3, C#4, C#5, C#6, E4, E5, E6, G#4, G#5']	[False, True, True, False, True, True, False, False, False, True]	0.125	12			
44.5	['C#3, C#4, C#5, C#6, E4, E5, E6, G#4, G#5']	[False, False, False, False, False, False, True, False, False]	0.125	12			
44.625	['C#4, C#5, C#6, E5, E6, G#4, G#5']	[False, False, False, False, False, False, False]	0.125	12			
44.75	['C#4, C#5, C#6, E4, E5, E6, G#4, G#5']	[True, False, True, True, False, True, False, True]	0.125	12			
44.875	['C#4, C#5, C#6, E5, E6, G#4, G#5']	[False, False, False, False, False, False, False]	0.25	12			
45.0	['C#4, C#5, C#6, E5, E6, G#4, G#5']	[False, False, False, False, False, False, False]	0.25	12			
45.125	['C#4, C#5, C#6, E4, E5, E6, G#4, G#5']	[True, False, True, True, False, True, False, True]	0.125	12			
45.25	['C#2, C#4, C#5, C#6, E5, E6, G#4, G#5']	[True, False, False, False, False, False, False, False]	0.125	12			
45.375	['C#2, C#4, C#5, C#6, E4, E5, E6, G#4, G#5']	[True, True, False, True, True, False, True, False, True]	0.125	12			
45.5	['C#2, C#4, C#5, E4, E5, E6, G#4, G#5']	[False, False, False, False, False, False, False, False]	0.25	12			
45.625	['C#2, C#4, C#5, E4, E5, E6, G#4, G#5']	[False, False, False, False, False, False, False, False]	0.25	12			
45.75	['C#4, C#5, C#6, E4, E5, E6, G#4, G#5']	[False, False, True, False, False, True, False, True]	0.125	12			
45.875	['C#4, C#5, E4, E5, E6, G#4, G#5']	[False, False, False, False, False, False, False]	0.125	12			
46.0	['C#4, C#5, C#6, E4, E5, E6, G#4, G#5']	[False, False, True, False, False, True, False, True]	0.125	12			
46.125	['C#4, C#5, E4, E5, E6, G#4, G#5']	[False, False, False, False, False, False, False]	0.125	12			
46.25	['C#4, C#5, E5, E6, G#4, G#5']	[False, False, False, False, False, False]	0.125	12			
46.375	['C#4, C#5, C#6, E4, E5, E6, G#4, G#5']	[True, False, True, True, False, True, False, True]	0.125	12			
46.5	['C#4, C#5, E4, E5, E6, G#4, G#5']	[False, False, False, False, False, False, False]	0.125	12			
46.625	['C#4, C#5, E4, E5, E6, G#4']	[False, False, False, False, False, False]	0.125	12			
46.75	['C2, C4, C5, C6, D#4, D#5, D#6, G#4, G#5, G#6']	[True, True, True, True, True, True, True, True, True, True]	0.125	12			
46.875	['C2, C4, C5, C6, D#4, D#5, D#6, G#4, G#5']	[False, False, False, False, False, False, False, False, False]	0.125	12			
47.0	['C2, C4, C5, C6, C#4, E4, D#4, D#5, D#6, G#4, G#5, G#6']	[False, False, False, True, True, True, False, False, False, False, True, True]	0.125	12			
47.125	['C5, C6, C#4, E4, D#5, D#6, G#4, G#5']	[False, False, False, False, False, False, False, False]	0.25	12			
47.25	['C5, C6, C#4, E4, D#5, D#6, G#4, G#5']	[False, False, False, False, False, False, False, False]	0.25	12			
47.375	['C5, C6, D#4, D#5, D#6, F#4, G#4, G#5, G#6']	[False, True, True, False, False, True, False, True, True]	0.125	12			
